NBD20	-6.874	107.5563	1
NLB03	-6.8312	105.891	1
NLB14	-6.83369	106.32821	1
NSU04	-6.6764	107.6919	1
NSU06	-6.6652	107.614	1
NBD18	-6.854	107.4765	1
NBD19	-7.154	107.3711	1
NBD21	-6.8033	107.5802	1
NBG06	-6.472	106.853	1
NBG07	-6.4463	106.9431	1
NBG08	-6.5411	106.8236	1
NBG09	-6.3393	106.4408	1
NBG10	-6.5463	106.546	1
NBG11	-6.594	106.4783	1
NBG13	-6.5127	106.7554	1
NBG14	-6.5037	107.133	1
NBK06	-6.1756	106.9812	1
NBK08	-6.2247	107.1142	1
NCJ02	-6.7316	107.0391	1
NCJ04	-6.8031	107.1798	1
NCJ05	-6.8511	107.2686	1
NCJ10	-7.0522	107.0074	1
NCJ13	-7.4517	107.1346	1
NCL01	-6.0234	106.0688	1
NCL02	-6.009	106.0377	1
NKR04	-6.3669	107.522	1
NKR05	-6.4526	107.3612	1
NKR06	-6.357517	107.23169	1
NKR07	-6.353	107.1192	1
NLB04	-6.9176	106.3022	1
NLB05	-6.33969	106.18234	1
NLB06	-6.468	106.2103	1
NLB07	-6.4604	106.3649	1
NLB08	-6.6539	106.3672	1
NLB11	-6.76673	105.92351	1
NLB13	-6.90689	106.1924	1
NLB15	-6.9298551	106.3693114	1
NPG01	-6.725395	105.529052	1
NPG04	-6.81589	105.86465	1
NPG05	-6.5848	105.8272	1
NPG06	-6.284	105.8274	1
NPG07	-6.309	106.0112	1
NPG08	-6.37984	105.835251	1
NPW01	-6.5516	107.437	1
NSK01	-6.8503	106.7643	1
NSK02	-6.9172	106.9731	1
NSK03	-6.8821	106.8654	1
NSK04	-7.334502	106.44235	1
NSK06	-7.0631	106.8058	1
NSK07	-7.1085	106.8788	1
NSK09	-7.2507	106.6728	1
NSK11	-7.1945	106.4798	1
NSR01	-6.0983	105.9946	1
NSR03	-6.2739	106.3455	1
NSR04	-6.1264	106.2401	1
NSR05	-6.237	106.2087	1
NSR06	-6.15186	105.87245	1
NSU02	-6.5716	107.7621	1
NSU03	-6.2822	107.6674	1
NTG06	-6.0943	106.362	1
NTG08	-6.2338	106.5612	1
NCJ01	-6.8297	107.1339	1
NCJ03	-6.7142	107.2146	1
NCJ08	-6.7324	107.0972	1
NCJ11	-7.2603	107.0316	1
NCJ16	-7.3087	107.1276	1
NLB01	-6.6726	106.0549	1
NLB09	-6.6283	106.1558	1
NLB10	-6.7686676	105.7005177	1
NPG03	-6.6275	105.6478	1
NPW03	-6.4784	107.4801	1
NSK08	-6.9517	106.446	1
NSK10	-7.3429	106.5604	1
NSR02	-6.1137	106.1576	1
NBG17	-6.4316	106.5801	1
NBG18	-6.4893	106.6536	1
NBG19	-6.5661	106.9952	1
NSK14	-6.7713	106.6002	1
NSK15	-6.4343	106.9259	1
NTM02	-7.3736	108.0297	1
NBD22	-7.1845	107.5876	1
NGR01	-7.2863	107.5282	1
NTM04	-7.7629	108.1735	1
NTM03	-7.7336	108.0193	1
NCS01	-7.1868	108.3695	1
NTM01	-7.1589	108.147	1
CKTN	-7.3241	107.2558	1
