NBD06	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBD07	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBD08	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBD09	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBD10	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBD11	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBD12	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBD13	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBD14	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBD15	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBD16	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBD17	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBD18	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBD19	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBD20	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBD21	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBD98	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBD98	HXZ	HXN	HXE	100	1671.8	1671.8	1671.8
NBD99	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBD99	HXZ	HXN	HXE	100	1671.8	1671.8	1671.8
NBG01	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBG02	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBG03	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBG04	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBG05	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBG06	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG07	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG08	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG09	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG10	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG11	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG12	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG13	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG14	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG15	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG16	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG98	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG98	HXZ	HXN	HXE	100	1671.8	1671.8	1671.8
NBG99	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBG99	HXZ	HXN	HXE	100	1671.8	1671.8	1671.8
NBK01	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBK02	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBK03	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBK04	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBK05	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NBK06	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBK07	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NBK08	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ01	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ02	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ03	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ04	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ05	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ06	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ07	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ08	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ09	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ10	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ11	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ12	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ13	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ14	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ15	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCJ16	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCL01	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCL02	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCL03	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NCL04	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
